date,open,close,high,low,volume
2019-01-02,4.31,4.3,4.37,4.29,22133.0
2019-01-03,4.3,4.27,4.35,4.27,22119.0
2019-01-04,4.24,4.38,4.41,4.21,32430.0
2019-01-07,4.4,4.49,4.5,4.4,43858.0
2019-01-08,4.52,4.74,4.82,4.45,127477.0
2019-01-09,4.99,4.74,5.15,4.74,169647.0
2019-01-10,4.74,4.62,4.78,4.58,88080.0
2019-01-11,4.63,5.09,5.09,4.58,255530.0
2019-01-14,5.16,5.61,5.61,5.09,409305.0
2019-01-15,5.51,5.81,6.18,5.29,616996.0
2019-01-16,5.65,6.28,6.39,5.54,625583.0
2019-01-17,6.11,6.21,6.58,6.02,579876.0
2019-01-18,6.1,5.85,6.23,5.59,434216.0
2019-01-21,5.75,5.9,6.03,5.69,324421.0
2019-01-22,5.83,5.93,6.01,5.67,280132.0
2019-01-23,5.81,6.3,6.49,5.74,538900.0
2019-01-24,6.18,5.99,6.21,5.79,372792.0
2019-01-25,5.88,5.89,6.13,5.72,322180.0
2019-01-28,5.79,5.62,5.87,5.39,274472.0
2019-01-29,5.48,5.4,5.62,5.31,192918.0
2019-01-30,5.39,4.94,5.47,4.94,251419.0
2019-01-31,4.91,5.0,5.17,4.91,194221.0
2019-02-01,5.09,5.07,5.22,5.04,128411.0
2019-02-11,5.26,5.59,5.59,5.2,165052.0
2019-02-12,5.87,5.91,6.06,5.71,345491.0
2019-02-13,5.78,6.08,6.34,5.74,383039.0
2019-02-14,5.95,6.21,6.24,5.88,358455.0
2019-02-15,6.12,6.02,6.18,5.99,237572.0
2019-02-18,6.09,6.21,6.29,6.01,324961.0
2019-02-19,6.19,6.32,6.57,6.09,397873.0
2019-02-20,6.18,6.11,6.31,5.98,305175.0
2019-02-21,6.11,6.69,6.73,6.0,619864.0
2019-02-22,6.49,6.83,6.99,6.39,574443.0
2019-02-25,6.71,7.52,7.52,6.69,510093.0
2019-02-26,7.59,8.28,8.28,7.29,462173.0
2019-02-27,8.32,7.97,8.95,7.82,632166.0
2019-02-28,7.97,7.69,8.03,7.46,327303.0
2019-03-01,7.67,8.27,8.34,7.67,452721.0
2019-03-04,8.19,8.29,8.62,7.97,386558.0
2019-03-05,8.14,8.18,8.27,7.91,365389.0
2019-03-06,8.09,8.49,8.62,7.93,464752.0
2019-03-07,8.29,8.28,8.42,8.09,345193.0
2019-03-08,7.94,7.44,8.01,7.44,348904.0
2019-03-11,7.44,7.69,7.79,7.43,187368.0
2019-03-12,7.94,7.68,7.99,7.57,227535.0
2019-03-13,7.84,7.71,8.06,7.6,295165.0
2019-03-14,7.52,7.73,8.09,7.52,261189.0
2019-03-15,7.66,8.08,8.08,7.63,335952.0
2019-03-18,8.37,8.08,8.49,7.97,325538.0
2019-03-19,7.89,8.06,8.07,7.84,218511.0
2019-03-20,8.08,7.85,8.18,7.67,221008.0
2019-03-21,7.87,7.91,8.09,7.87,217173.0
2019-03-22,7.94,8.38,8.47,7.83,397518.0
2019-03-25,8.39,8.69,9.05,8.24,451742.0
2019-03-26,8.82,8.89,9.46,8.71,494785.0
2019-03-27,9.09,8.01,9.2,7.99,687775.0
2019-03-28,7.72,7.2,7.74,7.2,434672.0
2019-03-29,7.15,7.32,7.38,7.15,283706.0
2019-04-01,7.32,7.77,7.83,7.19,331852.0
2019-04-02,7.9,7.94,8.16,7.75,313137.0
2019-04-03,7.86,7.94,8.03,7.82,230995.0
2019-04-04,8.02,8.01,8.14,7.87,306571.0
2019-04-08,8.17,8.14,8.44,7.98,331296.0
2019-04-09,8.07,8.6,8.77,7.84,465744.0
2019-04-10,8.35,8.4,8.92,8.15,502150.0
2019-04-11,8.4,8.86,9.08,8.31,600915.0
2019-04-12,8.79,9.25,9.47,8.63,719027.0
2019-04-15,9.09,8.67,9.4,8.44,473033.0
2019-04-16,8.56,9.55,9.55,8.45,550814.0
2019-04-17,9.74,10.52,10.52,9.69,1011007.0
2019-04-18,10.67,10.01,11.28,9.97,1052281.0
2019-04-19,9.76,10.16,10.47,9.49,722390.0
2019-04-22,9.96,9.61,10.09,9.58,486011.0
2019-04-23,9.57,9.48,9.99,9.38,397359.0
2019-04-24,9.74,10.44,10.44,9.74,341485.0
2019-04-25,11.09,9.77,11.33,9.7,739965.0
2019-04-26,8.97,9.19,9.75,8.91,473085.0
2019-04-29,9.22,8.26,9.32,8.26,371526.0
2019-04-30,7.51,7.82,8.0,7.51,302650.0
2019-05-06,7.48,7.03,7.69,7.03,253271.0
2019-05-07,7.15,7.74,7.74,7.09,366801.0
2019-05-08,7.44,7.77,8.2,7.3,397663.0
2019-05-09,7.94,8.07,8.39,7.92,378604.0
2019-05-10,8.24,8.39,8.46,7.78,404689.0
2019-05-13,8.18,8.13,8.25,7.88,244482.0
2019-05-14,7.99,7.77,8.06,7.43,187959.0
2019-05-15,7.94,8.18,8.18,7.94,273782.0
2019-05-16,8.66,9.01,9.01,8.39,594886.0
2019-05-17,8.65,8.43,8.96,8.23,516947.0
2019-05-20,8.62,8.33,8.68,7.88,297859.0
2019-05-21,8.28,8.66,8.94,8.11,354078.0
2019-05-22,8.89,8.46,8.89,8.35,310089.0
2019-05-23,8.19,8.11,8.39,7.95,260531.0
2019-05-24,8.05,8.47,8.78,7.98,335562.0
2019-05-27,8.27,8.54,8.64,8.09,285329.0
2019-05-28,8.3,8.34,8.64,8.3,223116.0
2019-05-29,8.29,8.21,8.42,8.15,164941.0
2019-05-30,8.18,8.14,8.37,8.05,148313.0
2019-05-31,8.08,7.89,8.13,7.82,198662.0
2019-06-03,7.92,7.56,7.98,7.42,175135.0
2019-06-04,7.57,7.4,7.59,7.3,120781.0
2019-06-05,7.41,7.39,7.57,7.38,97729.0
